x_m,y_m
1.00000000,0.00000000
0.99989024,0.00002558
0.99956097,0.00010222
0.99901230,0.00022961
0.99824439,0.00040726
0.99725746,0.00063448
0.99605179,0.00091038
0.99462774,0.00123391
0.99298574,0.00160386
0.99112629,0.00201884
0.98904995,0.00247735
0.98675737,0.00297774
0.98424929,0.00351829
0.98152652,0.00409716
0.97858995,0.00471245
0.97544057,0.00536224
0.97207947,0.00604457
0.96850784,0.00675749
0.96472696,0.00749908
0.96073823,0.00826746
0.95654315,0.00906085
0.95214336,0.00987757
0.94754060,0.01071608
0.94273675,0.01157499
0.93773380,0.01245312
0.93253391,0.01334948
0.92713935,0.01426335
0.92155254,0.01519426
0.91577606,0.01614206
0.90981262,0.01710689
0.90366512,0.01808927
0.89733658,0.01909002
0.89082995,0.02010915
0.88414802,0.02114531
0.87729361,0.02219702
0.87026962,0.02326273
0.86307904,0.02434085
0.85572490,0.02542977
0.84821033,0.02652780
0.84053850,0.02763323
0.83271267,0.02874429
0.82473614,0.02985919
0.81661231,0.03097608
0.80834460,0.03209310
0.79993652,0.03320834
0.79139165,0.03431991
0.78271368,0.03542612
0.77390641,0.03652534
0.76497367,0.03761591
0.75591937,0.03869623
0.74674747,0.03976468
0.73746201,0.04081965
0.72806707,0.04185956
0.71856679,0.04288285
0.70896537,0.04388798
0.69926704,0.04487342
0.68947612,0.04583771
0.67959696,0.04677939
0.66963396,0.04769707
0.65959156,0.04858937
0.64947427,0.04945498
0.63928660,0.05029261
0.62903313,0.05110102
0.61871846,0.05187901
0.60834723,0.05262545
0.59792412,0.05333924
0.58745383,0.05401943
0.57694112,0.05466530
0.56639077,0.05527623
0.55580760,0.05585166
0.54519642,0.05639109
0.53456209,0.05689410
0.52390946,0.05736033
0.51324340,0.05778948
0.50256879,0.05818132
0.49189051,0.05853567
0.48121345,0.05885222
0.47054246,0.05913065
0.45988241,0.05937067
0.44923816,0.05957210
0.43861457,0.05973481
0.42801647,0.05985875
0.41744871,0.05994392
0.40691609,0.05999042
0.39642342,0.05999840
0.38597552,0.05996745
0.37557727,0.05989635
0.36523349,0.05978392
0.35494902,0.05962908
0.34472861,0.05943091
0.33457702,0.05918862
0.32449895,0.05890157
0.31449905,0.05856925
0.30458193,0.05819133
0.29475217,0.05776761
0.28501439,0.05729829
0.27537325,0.05678391
0.26583336,0.05622515
0.25639925,0.05562281
0.24707537,0.05497783
0.23786610,0.05429131
0.22877575,0.05356444
0.21980852,0.05279855
0.21096856,0.05199511
0.20225991,0.05115571
0.19368657,0.05028176
0.18525288,0.04937243
0.17696323,0.04842597
0.16882187,0.04744115
0.16083288,0.04641718
0.15300020,0.04535377
0.14532759,0.04425129
0.13781843,0.04311312
0.13047586,0.04194461
0.12330289,0.04075103
0.11630241,0.03953746
0.10947720,0.03830884
0.10282996,0.03706993
0.09636329,0.03582498
0.09008060,0.03457243
0.08398575,0.03330695
0.07808224,0.03202465
0.07237325,0.03072317
0.06686245,0.02940335
0.06155392,0.02806882
0.05645113,0.02672377
0.05155689,0.02537282
0.04687329,0.02402082
0.04240021,0.02267151
0.03813646,0.02132846
0.03408111,0.01999595
0.03023341,0.01867894
0.02659285,0.01738293
0.02315999,0.01611269
0.01995146,0.01485350
0.01699109,0.01358202
0.01429323,0.01228700
0.01186366,0.01096803
0.00970113,0.00963346
0.00779880,0.00829856
0.00614557,0.00698369
0.00472737,0.00571262
0.00352832,0.00451096
0.00253183,0.00340477
0.00172149,0.00241929
0.00108198,0.00157778
0.00059978,0.00090063
0.00026372,0.00040451
0.00006550,0.00010177
0.00000000,0.00000000
0.00006550,-0.00010177
0.00026372,-0.00040451
0.00059978,-0.00090063
0.00108198,-0.00157778
0.00172149,-0.00241929
0.00253183,-0.00340477
0.00352832,-0.00451096
0.00472737,-0.00571262
0.00614557,-0.00698369
0.00779880,-0.00829856
0.00970113,-0.00963346
0.01186366,-0.01096803
0.01429323,-0.01228700
0.01699109,-0.01358202
0.01995146,-0.01485350
0.02315999,-0.01611269
0.02659285,-0.01738293
0.03023341,-0.01867894
0.03408111,-0.01999595
0.03813646,-0.02132846
0.04240021,-0.02267151
0.04687329,-0.02402082
0.05155689,-0.02537282
0.05645113,-0.02672377
0.06155392,-0.02806882
0.06686245,-0.02940335
0.07237325,-0.03072317
0.07808224,-0.03202465
0.08398575,-0.03330695
0.09008060,-0.03457243
0.09636329,-0.03582498
0.10282996,-0.03706993
0.10947720,-0.03830884
0.11630241,-0.03953746
0.12330289,-0.04075103
0.13047586,-0.04194461
0.13781843,-0.04311312
0.14532759,-0.04425129
0.15300020,-0.04535377
0.16083288,-0.04641718
0.16882187,-0.04744115
0.17696323,-0.04842597
0.18525288,-0.04937243
0.19368657,-0.05028176
0.20225991,-0.05115571
0.21096856,-0.05199511
0.21980852,-0.05279855
0.22877575,-0.05356444
0.23786610,-0.05429131
0.24707537,-0.05497783
0.25639925,-0.05562281
0.26583336,-0.05622515
0.27537325,-0.05678391
0.28501439,-0.05729829
0.29475217,-0.05776761
0.30458193,-0.05819133
0.31449905,-0.05856925
0.32449895,-0.05890157
0.33457702,-0.05918862
0.34472861,-0.05943091
0.35494902,-0.05962908
0.36523349,-0.05978392
0.37557727,-0.05989635
0.38597552,-0.05996745
0.39642342,-0.05999840
0.40691609,-0.05999042
0.41744871,-0.05994392
0.42801647,-0.05985875
0.43861457,-0.05973481
0.44923816,-0.05957210
0.45988241,-0.05937067
0.47054246,-0.05913065
0.48121345,-0.05885222
0.49189051,-0.05853567
0.50256879,-0.05818132
0.51324340,-0.05778948
0.52390946,-0.05736033
0.53456209,-0.05689410
0.54519642,-0.05639109
0.55580760,-0.05585166
0.56639077,-0.05527623
0.57694112,-0.05466530
0.58745383,-0.05401943
0.59792412,-0.05333924
0.60834723,-0.05262545
0.61871846,-0.05187901
0.62903313,-0.05110102
0.63928660,-0.05029261
0.64947427,-0.04945498
0.65959156,-0.04858937
0.66963396,-0.04769707
0.67959696,-0.04677939
0.68947612,-0.04583771
0.69926704,-0.04487342
0.70896537,-0.04388798
0.71856679,-0.04288285
0.72806707,-0.04185956
0.73746201,-0.04081965
0.74674747,-0.03976468
0.75591937,-0.03869623
0.76497367,-0.03761591
0.77390641,-0.03652534
0.78271368,-0.03542612
0.79139165,-0.03431991
0.79993652,-0.03320834
0.80834460,-0.03209310
0.81661231,-0.03097608
0.82473614,-0.02985919
0.83271267,-0.02874429
0.84053850,-0.02763323
0.84821033,-0.02652780
0.85572490,-0.02542977
0.86307904,-0.02434085
0.87026962,-0.02326273
0.87729361,-0.02219702
0.88414802,-0.02114531
0.89082995,-0.02010915
0.89733658,-0.01909002
0.90366512,-0.01808927
0.90981262,-0.01710689
0.91577606,-0.01614206
0.92155254,-0.01519426
0.92713935,-0.01426335
0.93253391,-0.01334948
0.93773380,-0.01245312
0.94273675,-0.01157499
0.94754060,-0.01071608
0.95214336,-0.00987757
0.95654315,-0.00906085
0.96073823,-0.00826746
0.96472696,-0.00749908
0.96850784,-0.00675749
0.97207947,-0.00604457
0.97544057,-0.00536224
0.97858995,-0.00471245
0.98152652,-0.00409716
0.98424929,-0.00351829
0.98675737,-0.00297774
0.98904995,-0.00247735
0.99112629,-0.00201884
0.99298574,-0.00160386
0.99462774,-0.00123391
0.99605179,-0.00091038
0.99725746,-0.00063448
0.99824439,-0.00040726
0.99901230,-0.00022961
0.99956097,-0.00010222
0.99989024,-0.00002558
1.00000000,-0.00000000
